,Unnamed: 0,Tables,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
0,,Note: All of the following links point to tables within this spreadsheet that  can also be found using the navigation at the bottom of the page,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"B.C. Gross Domestic Product (GDP) (Constant Dollar) at Basic Prices, by Industry",,,,,,,,,,,,,,,,,,,,,,,,,,
2,,"B.C. Gross Domestic Product (GDP) (Current Dollar) at Basic Prices, by Industry",,,,,,,,,,,,,,,,,,,,,,,,,,
3,,"B.C. Gross Domestic Product (GDP) at Basic Prices, Selected Activities",,,,,,,,,,,,,,,,,,,,,,,,,,
4,,"High Technology GDP (Constant Dollar) at Basic Prices, by Province",,,,,,,,,,,,,,,,,,,,,,,,,,
5,,"High Technology GDP (Current Dollar) at Basic Prices, by Province",,,,,,,,,,,,,,,,,,,,,,,,,,
6,,B.C. High Technology Sector Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,"High Technology Sector Revenues, by Province",,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,Note: All dollar figures are in Canadian dollars (unless otherwise stated),,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"High Technology B.C. Gross Domestic Product (GDP) (Constant Dollar) at Basic Prices, by Industry",,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Chained 2017 $ million1,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,INDUSTRY,1997,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,High Technology Manufacturing,750.2668012,776.8500092,968.101118,1472.330728,1455.15163,1212.708312,1211.993577,1311.308092,1380.842515,1457.588242,1483.941013,1473.140285,1272.296497,1483.875949,1493.362883,1560.368811,1534.267061,1602.471136,1629.583099,1667.419506,1714.007289,1957.550237,2086.85899,1968.297237,2073.147986,2402.824991,
17,Pharmaceutical and Medicine manufacturing,39.4,45.7,64.8,98.6,100.4,45.2,45.7,80.2,69.4,48.9,76.9,78.8,85.7,92.1,86.4,110.3,116.5,125.6,144.0,167.9,175.0,269.5,311.1,307.3,367.0,424.4,
